id,timestamp,level_1,level_2,tds_1,flow_1,pressure_1,level_switch,mode_standby,mode_filtering,mode_backwash,mode_drain,mode_override,emergency_stop,solenoid_1,solenoid_2,solenoid_3,solenoid_4,solenoid_5,solenoid_6,pompa_1,pompa_2,pompa_3,stepper
1,2025-08-21 16:45:46,25.73182499907327,33.818903598448095,25.73182499907327,25.73182499907327,25.73182499907327,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2,2025-08-21 16:45:46,2.255368750132225,5.727225981229225,2.255368750132225,2.255368750132225,2.255368750132225,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
3,2025-08-21 16:45:47,69.5047522550348,26.224561035408005,69.5047522550348,69.5047522550348,69.5047522550348,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
4,2025-08-21 16:45:47,34.32401697431491,9.4106939637493,34.32401697431491,34.32401697431491,34.32401697431491,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
5,2025-08-21 16:45:48,44.33693305719062,48.97059373404241,44.33693305719062,44.33693305719062,44.33693305719062,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
6,2025-08-21 16:45:48,88.19442081417392,79.74133480518239,88.19442081417392,88.19442081417392,88.19442081417392,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
7,2025-08-21 16:45:49,98.4800549691355,31.849943774898808,98.4800549691355,98.4800549691355,98.4800549691355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2025-08-21 16:45:49,64.1143999943898,16.167274693828347,64.1143999943898,64.1143999943898,64.1143999943898,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
9,2025-08-21 16:45:50,47.36944603043243,68.49421994744988,47.36944603043243,47.36944603043243,47.36944603043243,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0
10,2025-08-21 16:45:50,40.86459956140519,42.44375945486131,40.86459956140519,40.86459956140519,40.86459956140519,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
11,2025-08-21 16:45:51,63.91082509541612,1.9536115559369271,63.91082509541612,63.91082509541612,63.91082509541612,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1
12,2025-08-21 16:45:52,69.55356487669602,29.52473939329483,69.55356487669602,69.55356487669602,69.55356487669602,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0
13,2025-08-21 16:45:52,17.132341506289638,69.28254639699622,17.132341506289638,17.132341506289638,17.132341506289638,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
14,2025-08-21 16:45:53,76.82017278745423,52.59600761759464,76.82017278745423,76.82017278745423,76.82017278745423,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
15,2025-08-21 16:45:53,24.855880553181876,33.383762357272886,24.855880553181876,24.855880553181876,24.855880553181876,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0
16,2025-08-21 16:45:54,79.85813246946768,44.3464672660855,79.85813246946768,79.85813246946768,79.85813246946768,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0
17,2025-08-21 16:45:54,67.4555537128154,0.5117576141091362,67.4555537128154,67.4555537128154,67.4555537128154,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
18,2025-08-21 16:45:55,8.788043890545062,53.33298555929193,8.788043890545062,8.788043890545062,8.788043890545062,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,2025-08-21 16:45:55,69.97147242894253,16.955162883582133,69.97147242894253,69.97147242894253,69.97147242894253,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
20,2025-08-21 16:45:56,1.2610974988832901,62.073306616409944,1.2610974988832901,1.2610974988832901,1.2610974988832901,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
21,2025-08-21 16:45:56,50.61444797292018,30.133894064678355,50.61444797292018,50.61444797292018,50.61444797292018,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
22,2025-08-21 16:45:57,31.91703075673662,57.62661546406471,31.91703075673662,31.91703075673662,31.91703075673662,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
